0,1,2,3,4
1893 National League Pitcher Review←1892| 1893 Hitting Statistics League Leaders |1894→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Amos Rusie,New York,50,Top 25
ERA,Ted Breitenstein,St. Louis,3.18,Top 25
Games,Amos Rusie,New York,56,Top 25
Saves,Mark Baldwin,New York,2,Top 25
Tom Colcolough,Pittsburgh,,,
Frank Donnelly,Chicago,,,
Frank Dwyer,Cincinnati,,,
Tony Mullane,Cincinnati,,,
Baltimore,,,,
Shutouts,Red Ehret,Pittsburgh,4,Top 25
Amos Rusie,New York,,,
Strikeouts,Amos Rusie,New York,208,Top 25
Winning Percentage,Hank Gastright,Pittsburgh,.750,Top 25
Boston,,,,
Wins,Frank Killen,Pittsburgh,36,Top 25
Statistic,Name(s),Team(s),#,Top 25
1893 N.L. History |Year-by-Year History,,,,
