0,1,2,3,4,5
1892 National LeagueTeam Standings,,,,,
Team | Roster,Splits,W,L,WP,GB
Boston Beaneaters,(a),52,22,.703,+2½
(b),50,26,.658,3,
Final,102,48,.680,+8½,
Cleveland Spiders,(a),40,33,.548,16½
(b),53,23,.697,+3,
Final,93,56,.624,8½,
Brooklyn Bridegrooms,(a),51,26,.662,2½
(b),44,33,.571,9½,
Final,95,59,.617,9,
Philadelphia Phillies,(a),46,30,.605,7
(b),41,36,.532,12½,
Final,87,66,.569,16½,
Cincinnati Reds,(a),44,31,.587,8½
(b),38,37,.507,14½,
Final,82,68,.547,20,
Pittsburgh Pirates,(a),37,39,.487,16
(b),43,34,.558,10½,
Final,80,73,.523,23½,
Chicago Colts,(a),31,39,.443,19
(b),39,37,.513,14,
Final,70,76,.479,30,
New York Giants,(a),31,43,.419,21
(b),40,37,.519,13½,
Final,71,80,.470,31½,
Louisville Colonels,(a),30,47,.390,23½
(b),33,42,.440,19½,
Final,63,89,.414,40,
Washington Senators,(a),35,41,.461,18
(b),23,52,.307,24½,
Final,58,93,.384,44½,
St. Louis Browns,(a),31,42,.425,20½
(b),25,52,.325,28½,
Final,56,94,.373,46,
Baltimore Orioles,(a),20,55,.267,32½
(b),26,46,.361,25,
Final,46,101,.313,54½,
Team | Roster,Splits,W,L,WP,GB
1892 National League Team Standings,,,,,
