0,1,2
1879 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Providence,91
Batting Average,Providence,.296
Doubles,Chicago,167
Hits,Providence,"1,003"
Home Runs,Boston,20
On Base Percentage,Providence,.314
Runs,Providence,612
Slugging Average,Providence,.381
Triples,Providence,55
Statistic,Team,#
