0,1,2,3,4
1937 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Jim Turner,Boston,24,Top 25
ERA,Jim Turner,Boston,2.38,Top 25
Games,Hugh Mulcahy,Philadelphia,56,Top 25
Saves,Mace Brown,Pittsburgh,7,Top 25
Cliff Melton,New York,,,
Shutouts,Lou Fette,Boston,5,Top 25
Lee Grissom,Cincinnati,,,
Jim Turner,Boston,,,
Strikeouts,Carl Hubbell,New York,159,Top 25
Winning Percentage,Carl Hubbell,New York,.733,Top 25
Wins,Carl Hubbell,New York,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
