0,1,2,3,4
1890 American Association Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Sadie McMahon,Philadelphia,55,Top 25
Baltimore,,,,
ERA,Scott Stratton,Louisville,2.36,Top 25
Games,Sadie McMahon,Philadelphia,60,Top 25
Baltimore,,,,
Saves,Herb Goodall,Louisville,4,Top 25
Shutouts,Elton Chamberlain,St. Louis,6,Top 25
Columbus,,,,
Strikeouts,Sadie McMahon,Philadelphia,291,Top 25
Baltimore,,,,
Winning Percentage,Scott Stratton,Louisville,.708,Top 25
Wins,Sadie McMahon,Philadelphia,36,Top 25
Baltimore,,,,
Statistic,Name(s),Team(s),#,Top 25
