0,1,2
1932 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Philadelphia,446
Batting Average,Philadelphia,.292
Doubles,Philadelphia,330
Hits,Philadelphia,"1,608"
Home Runs,Philadelphia,122
On Base Percentage,Philadelphia,.348
Runs,Philadelphia,844
Slugging Average,Philadelphia,.442
Stolen Bases,St. Louis,92
Triples,Pittsburgh,90
Statistic,Team,#
1932 National League Team Review,,
