0,1,2,3,4
1993 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Greg Maddux,Atlanta,8,Top 25
ERA,Greg Maddux,Atlanta,2.36,Top 25
Games,Mike Jackson,San Francisco,81,Top 25
Saves,Randy Myers,Chicago,53,Top 25
Shutouts,Pete Harnisch,Houston,4,Top 25
Strikeouts,Jose Rijo,Cincinnati,227,Top 25
Winning Percentage,Mark Portugal,Houston,.818,Top 25
Wins,John Burkett,San Francisco,22,Top 25
Tom Glavine,Atlanta,,,
Statistic,Name,Team,#,Top 25
