0,1,2,3,4
1919 National League Pitcher Review←1918| 1919 Pitching Statistics League Leaders |1920→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Wilbur Cooper,Pittsburgh,27,Top 25
ERA,Grover Alexander,Chicago,1.72,Top 25
Games,Oscar Tuero,St. Louis,45,Top 25
Saves,Oscar Tuero,St. Louis,4,Top 25
Shutouts,Grover Alexander,Chicago,9,Top 25
Strikeouts,Hippo Vaughn,Chicago,141,Top 25
Winning Percentage,Dutch Ruether,Cincinnati,.760,Top 25
Wins,Jesse Barnes,New York,25,Top 25
Statistic,Name(s),Team(s),#,Top 25
1919 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
