0,1,2,3,4
2001 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Curt Schilling,Arizona,6,Top 25
ERA,Randy Johnson,Arizona,2.49,Top 25
Games,Steve Kline,St. Louis,89,Top 25
Saves,Robb Nen,San Francisco,45,Top 25
Shutouts,Greg Maddux,Atlanta,3,Top 25
Javier Vazquez,Montreal,,,
Strikeouts,Randy Johnson,Arizona,372,Top 25
Winning Percentage,Roy Oswalt,Houston,.824,Top 25
Wins,Curt Schilling,Arizona,22,Top 25
Matt Morris,St. Louis,,,
Statistic,Name,Team,#,Top 25
