0,1,2
1990 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Los Angeles,29
ERA,Montreal,3.37
Fewest Hits Allowed,Cincinnati,"1,338"
Fewest Home Runs Allowed,St. Louis,98
Fewest Walks Allowed,Pittsburgh,413
Saves,Cincinnati,50
Montreal,,
Shutouts,New York,14
Strikeouts,New York,"1,217"
"Seasonal Events:All-Star Game|Draft|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard| Retirements|Rookies ListAverage Salary: $578,930.00Minimum Salary: $100,000.00",,
