0,1,2,3,4
1892 National League Pitcher Review←1891| 1892 Pitching Statistics League Leaders |1893→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Bill Hutchison,Chicago,67,Top 25
ERA,Cy Young,Cleveland,1.93,Top 25
Games,Bill Hutchison,Chicago,75,Top 25
Saves,Gus Weyhing,Philadelphia,3,Top 25
Shutouts,Cy Young,Cleveland,9,Top 25
Strikeouts,Bill Hutchison,Chicago,314,Top 25
Winning Percentage,Mike Sullivan,Cincinnati,.750,Top 25
Cy Young,Cleveland,.750,,
Wins,Bill Hutchison,Chicago,36,Top 25
Cy Young,Cleveland,,,
Statistic,Name(s),Team(s),#,Top 25
1892 N.L. History |Year-by-Year History,,,,
