0,1,2,3,4,5,6
2016 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,Ties,WP,GB
Washington Nationals,95,67,0,.586,--,
New York Mets,87,75,0,.537,8,
Miami Marlins,79,82,0,.491,15.5,
Philadelphia Phillies,71,91,0,.438,24,
Atlanta Braves,68,93,0,.422,26.5,
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB
Chicago Cubs,103,58,0,.640,--,
St. Louis Cardinals,86,76,0,.531,17.5,
Pittsburgh Pirates,78,83,0,.484,25,
Milwaukee Brewers,73,89,0,.451,30.5,
Cincinnati Reds,68,94,0,.420,35.5,
West,Team [Click for roster],Wins,Losses,Ties,WP,GB
Los Angeles Dodgers,91,71,0,.562,--,
San Francisco Giants,87,75,0,.537,4,
Colorado Rockies,75,87,0,.463,16,
Arizona Diamondbacks,69,93,0,.426,22,
San Diego Padres,68,94,0,.420,23,
2016 National League Final Standings,,,,,,
Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Rookies List,,,,,,
