0,1,2,3,4
1881 National League Pitcher Review←1880| 1881 Pitching Statistics League Leaders |1882→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Jim McCormick,Cleveland,57,Top 25
Jim Whitney,Boston,,,
ERA,Stump Wiedman,Detroit,1.80,Top 25
Games,Jim Whitney,Boston,66,Top 25
Saves,Bobby Mathews,Providence,2,Top 25
Boston,,,,
Shutouts,George Derby,Detroit,9,Top 25
Strikeouts,George Derby,Detroit,212,Top 25
Winning Percentage,Old Hoss Radbourn,Providence,.694,Top 25
Wins,Larry Corcoran,Chicago,31,Top 25
Jim Whitney,Boston,,,
Statistic,Name(s),Team(s),#,Top 25
1881 N.L. History |Year-by-Year History,,,,
