0,1,2,3,4
1933 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Lon Warneke,Chicago,26,Top 25
Dizzy Dean,St. Louis,,,
ERA,Carl Hubbell,New York,1.66,Top 25
Games,Dizzy Dean,St. Louis,48,Top 25
Saves,Phil Collins,Philadelphia,6,Top 25
Shutouts,Carl Hubbell,New York,10,Top 25
Strikeouts,Dizzy Dean,St. Louis,199,Top 25
Winning Percentage,Ben Cantwell,Boston,.667,Top 25
Wins,Carl Hubbell,New York,23,Top 25
Statistic,Name(s),Team(s),#,Top 25
