0,1,2,3,4
1940 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Bucky Walters,Cincinnati,29,Top 25
ERA,Bucky Walters,Cincinnati,2.48,Top 25
Games,Clyde Shoun,St. Louis,54,Top 25
Saves,Joe Beggs,Cincinnati,7,Top 25
Jumbo Brown,New York,,,
Mace Brown,Pittsburgh,,,
Shutouts,Manny Salvo,Boston,5,Top 25
Whit Wyatt,Brooklyn,,,
Strikeouts,Kirby Higbe,Philadelphia,137,Top 25
Winning Percentage,Freddie Fitzsimmons,Brooklyn,.889,Top 25
Wins,Bucky Walters,Cincinnati,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
