0,1,2,3,4,5
1983 National League Team Standings1983 All-Star Game| 1983 Team Standings |1983 World Series,,,,,
East,Team | Roster,Wins,Losses,WP,GB
Philadelphia Phillies,90,72,.556,0,
Pittsburgh Pirates,84,78,.519,6,
Montreal Expos,82,80,.506,8,
St. Louis Cardinals,79,83,.488,11,
Chicago Cubs,71,91,.438,19,
New York Mets,68,94,.420,22,
West,Team | Roster,Wins,Losses,WP,GB
Los Angeles Dodgers,91,71,.562,0,
Atlanta Braves,88,74,.543,3,
Houston Astros,85,77,.525,6,
San Diego Padres,81,81,.500,10,
San Francisco Giants,79,83,.488,12,
Cincinnati Reds,74,88,.457,17,
N.L.,Team | Roster,Wins,Losses,WP,GB
National League Team Standings,,,,,
