0,1,2,3,4
1908 National League Pitcher Review←1907| 1908 Pitching Statistics League Leaders |1909→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Christy Mathewson,New York,34,Top 25
ERA,Christy Mathewson,New York,1.43,Top 25
Games,Christy Mathewson,New York,56,Top 25
Saves,Mordecai Brown,Chicago,5,Top 25
Christy Mathewson,New York,,,
Joe McGinnity,New York,,,
Shutouts,Christy Mathewson,New York,11,Top 25
Strikeouts,Christy Mathewson,New York,259,Top 25
Winning Percentage,Ed Reulbach,Chicago,.774,Top 25
Wins,Christy Mathewson,New York,37,Top 25
Statistic,Name(s),Team(s),#,Top 25
1908 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
