0,1,2,3,4
1964 National League Pitcher Review←1963| 1964 Pitching Statistics League Leaders |1965→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Juan Marichal,San Francisco,22,Top 25
ERA,Sandy Koufax,Los Angeles,1.74,Top 25
Games,Bob Miller,Los Angeles,74,Top 25
Saves,Hal Woodeshick,Houston,23,Top 25
Shutouts,Sandy Koufax,Los Angeles,7,Top 25
Strikeouts,Bob Veale,Pittsburgh,250,Top 25
Winning Percentage,Sandy Koufax,Los Angeles,.792,Top 25
Wins,Larry Jackson,Chicago,24,Top 25
Statistic,Name(s),Team(s),#,Top 25
1964 N.L. History |1964 A.L. History|Year-by-Year History,,,,
