0,1,2
1891 American Association Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Philadelphia,135
ERA,Boston,3.03
Fewest Hits Allowed,St. Louis,"1,106"
Fewest Home Runs Allowed,Columbus,29
Fewest Walks Allowed,Louisville,464
Saves,Boston,7
Shutouts,Boston,9
Louisville,,
Strikeouts,St. Louis,621
Seasonal Events: All-Star Game | World SeriesNavigation:Year in Review Menu|Previous Season| Next SeasonMiscellaneous:N.L. Leaderboard|Retirements|Rookies List,,
