0,1,2,3,4
1926 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Carl Mays,Cincinnati,24,Top 25
ERA,Ray Kremer,Pittsburgh,2.61,Top 25
Games,Jack Scott,New York,50,Top 25
Saves,Chick Davies,New York,6,Top 25
Shutouts,Pete Donohue,Cincinnati,5,Top 25
Strikeouts,Dazzy Vance,Brooklyn,184,Top 25
Winning Percentage,Ray Kremer,Pittsburgh,.769,Top 25
Wins,Pete Donohue,Cincinnati,20,Top 25
Ray Kremer,Pittsburgh,,,
Lee Meadows,Pittsburgh,,,
Flint Rhem,St. Louis,,,
Statistic,Name(s),Team(s),#,Top 25
