0,1,2
1944 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Pittsburgh,573
Batting Average,St. Louis,.275
Doubles,St. Louis,274
Hits,St. Louis,"1,507"
Home Runs,St. Louis,100
On Base Percentage,St. Louis,.344
Runs,St. Louis,772
Slugging Average,St. Louis,.402
Stolen Bases,Pittsburgh,87
Triples,Pittsburgh,80
Statistic,Team,#
1944 National League Team Review,,
