0,1,2,3,4
1943 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Rip Sewell,Pittsburgh,25,Top 25
ERA,Max Lanier,St. Louis,1.94,Top 25
Games,Ace Adams,New York,70,Top 25
Saves,Les Webber,Brooklyn,10,Top 25
Shutouts,Hi Bithorn,Chicago,7,Top 25
Strikeouts,Johnny Vander Meer,Cincinnati,174,Top 25
Winning Percentage,Mort Cooper,St. Louis,.724,Top 25
Wins,Mort Cooper,St. Louis,21,Top 25
Elmer Riddle,Cincinnati,,,
Rip Sewell,Pittsburgh,,,
Statistic,Name(s),Team(s),#,Top 25
