0,1,2
1962 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,New York Mets,616
Batting Average,San Francisco Giants,.278
Doubles,Cincinnati Reds,252
Hits,San Francisco Giants,"1,552"
Home Runs,San Francisco Giants,204
On Base Percentage,San Francisco Giants,.344
Runs,San Francisco Giants,878
Slugging Average,San Francisco Giants,.441
Stolen Bases,Los Angeles Dodgers,198
Triples,Los Angeles Dodgers,65
Pittsburgh Pirates,,
Statistic,Team,#
1962 N.L. Team Hitting Leaders,,
