0,1,2,3,4,5
1924 National League Team Standings1924 Team Standings |1924 World Series,,,,,
Team | Roster,W,L,T,WP,GB
New York Giants,93,60,0,.608,0
Brooklyn Robins,92,62,0,.597,1½
Pittsburgh Pirates,90,63,0,.588,3
Cincinnati Reds,83,70,0,.542,10
Chicago Cubs,81,72,0,.529,12
St. Louis Cardinals,65,89,0,.422,28½
Philadelphia Phillies,55,96,1,.364,37
Boston Braves,53,100,1,.346,40
Team | Roster,W,L,T,WP,GB
National League Team Standings,,,,,
