0,1,2,3,4
1939 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Bucky Walters,Cincinnati,31,Top 25
ERA,Bucky Walters,Cincinnati,2.29,Top 25
Games,Clyde Shoun,St. Louis,53,Top 25
Saves,Bob Bowman,St. Louis,9,Top 25
Clyde Shoun,St. Louis,,,
Shutouts,Lou Fette,Boston,6,Top 25
Strikeouts,Claude Passeau,Philadelphia,137,Top 25
Chicago,,,,
Bucky Walters,Cincinnati,,,
Winning Percentage,Paul Derringer,Cincinnati,.781,Top 25
Wins,Bucky Walters,Cincinnati,27,Top 25
Statistic,Name(s),Team(s),#,Top 25
