0,1,2,3,4
1992 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Terry Mulholland,Philadelphia,12,Top 25
ERA,Bill Swift,San Francisco,2.08,Top 25
Games,Joe Boever,Houston,81,Top 25
Saves,Lee Smith,St. Louis,43,Top 25
Shutouts,David Cone,New York,5,Top 25
Tom Glavine,Atlanta,,,
Strikeouts,John Smoltz,Atlanta,215,Top 25
Winning Percentage,Bob Tewksbury,St. Louis,.762,Top 25
Wins,Tom Glavine,Atlanta,20,Top 25
Greg Maddux,,,,
Statistic,Name,Team,#,Top 25
