0,1,2,3,4
1980 National League Pitcher Review←1979| 1980 Pitching Statistics League Leaders |1981→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Steve Rogers,Montreal,14,Top 25
ERA,Don Sutton,Los Angeles,2.20,Top 25
Games,Dick Tidrow,Chicago,84,Top 25
Saves,Bruce Sutter,St. Louis,28,Top 25
Shutouts,Jerry Reuss,Los Angeles,6,Top 25
Strikeouts,Steve Carlton,Philadelphia,286,Top 25
Winning Percentage,Jim Bibby,Pittsburgh,.760,Top 25
Wins,Steve Carlton,Philadelphia,24,Top 25
Statistic,Name(s),Team(s),#,Top 25
1980 N.L. History |1980 A.L. History|Year-by-Year History,,,,
