0,1,2
1885 American Association Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,St. Louis,111
ERA,St. Louis,2.44
Fewest Hits Allowed,St. Louis,879
Fewest Home Runs Allowed,Philadelphia,11
Fewest Walks Allowed,St. Louis,168
Saves,Baltimore,4
Shutouts,St. Louis,11
Strikeouts,Philadelphia,506
Statistic,Team,#
