0,1,2
1998 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Atlanta,24
ERA,Atlanta,3.25
Fewest Hits Allowed,Atlanta,"1,291"
Fewest Home Runs Allowed,Atlanta,117
Fewest Walks Allowed,Houston,465
Saves,San Diego,59
Shutouts,Atlanta,23
Strikeouts,Atlanta,"1,232"
"Seasonal Events:All-Star Game|Draft|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Retirements|Rookies ListAverage Salary: $1,441,406.00Minimum Salary: $170,000.00",,
