0,1,2,3,4
1918 National League Pitcher Review←1917| 1918 Pitching Statistics League Leaders |1919→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Art Nehf,Boston,28,Top 25
ERA,Hippo Vaughn,Chicago,1.74,Top 25
Games,Burleigh Grimes,Brooklyn,40,Top 25
Saves,Fred Anderson,New York,3,Top 25
Wilbur Cooper,Pittsburgh,,,
Joe Oeschger,Philadelphia,,,
Fred Toney,Cincinnati,,,
New York,,,,
Shutouts,Hippo Vaughn,Chicago,8,Top 25
Strikeouts,Hippo Vaughn,Chicago,148,Top 25
Winning Percentage,Claude Hendrix,Chicago,.741,Top 25
Wins,Hippo Vaughn,Chicago,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
1918 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
