0,1,2
1995 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Atlanta,18
ERA,Atlanta,3.44
Fewest Hits Allowed,Atlanta,"1,184"
Fewest Home Runs Allowed,Atlanta,107
Fewest Walks Allowed,New York,401
Saves,Chicago,45
Shutouts,Chicago,12
Strikeouts,Atlanta,"1,087"
"Seasonal Events:All-Star Game|Draft|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard| Retirements|Rookies ListAverage Salary: $1,071,029.00Minimum Salary: $109,000.00",,
