0,1,2,3,4
1991 National League Pitcher Review←1990| 1991 Pitching Statistics League Leaders |1992→,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Tom Glavine,Atlanta,9,Top 25
Dennis Martinez,Montreal,,,
ERA,Dennis Martinez,Montreal,2.39,Top 25
Games,Barry Jones,Montreal,77,Top 25
Saves,Lee Smith,St. Louis,47,Top 25
Shutouts,Dennis Martinez,Montreal,5,Top 25
Strikeouts,David Cone,New York,241,Top 25
Winning Percentage,Jose Rijo,Cincinnati,.714,Top 25
John Smiley,Pittsburgh,,,
Wins,Tom Glavine,Atlanta,20,Top 25
John Smiley,Pittsburgh,,,
Statistic,Name,Team,#,Top 25
1991 N.L. History |1991 A.L. History|Year-by-Year History,,,,
