0,1,2,3,4
1977 National League Pitcher Review←1976| 1977 Pitching Statistics League Leaders |1978→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Phil Niekro,Atlanta,20,Top 25
ERA,JohnCandelaria,Pittsburgh,2.34,Top 25
Games,Rollie Fingers,San Diego,78,Top 25
Saves,Rollie Fingers,San Diego,35,Top 25
Shutouts,Tom Seaver,New York,7,Top 25
Cincinnati,,,,
Strikeouts,Phil Niekro,Atlanta,262,Top 25
Winning Percentage,JohnCandelaria,Pittsburgh,.800,Top 25
Wins,Steve Carlton,Philadelphia,23,Top 25
Statistic,Name(s),Team(s),#,Top 25
1977 N.L. History |1977 A.L. History|Year-by-Year History,,,,
