0,1,2,3,4
1986 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Fernando Valenzuela,Los Angeles,20,Top 25
ERA,Mike Scott,Houston,2.22,Top 25
Games,Craig Lefferts,San Diego,83,Top 25
Saves,Todd Worrell,St. Louis,36,Top 25
Shutouts,Bob Knepper,Houston,5,Top 25
Mike Scott,,,,
Strikeouts,Mike Scott,Houston,306,Top 25
Winning Percentage,Bob Ojeda,New York,.783,Top 25
Wins,Fernando Valenzuela,Los Angeles,21,Top 25
Statistic,Name(s),Team(s),#,Top 25
