0,1,2,3,4
1972 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Steve Carlton,Philadelphia,30,Top 25
ERA,Steve Carlton,Philadelphia,1.97,Top 25
Games,Clay Carroll,Cincinnati,65,Top 25
Mike Marshall,Montreal,,,
Saves,Clay Carroll,Cincinnati,37,Top 25
Shutouts,Don Sutton,Los Angeles,9,Top 25
Strikeouts,Steve Carlton,Philadelphia,310,Top 25
Winning Percentage,Gary Nolan,Cincinnati,.750,Top 25
Wins,Steve Carlton,Philadelphia,27,Top 25
Statistic,Name(s),Team(s),#,Top 25
1972 N.L. History |1972 A.L. History|Year-by-Year History,,,,
