0,1,2,3,4,5
1973 National League Team Standings1973 All-Star Game| 1973 Team Standings |1973 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
New York Mets,82,79,.509,0,
St. Louis Cardinals,81,81,.500,1½,
Pittsburgh Pirates,80,82,.494,2½,
Montreal Expos,79,83,.488,3½,
Chicago Cubs,77,84,.478,5,
Philadelphia Phillies,71,91,.438,11½,
West,Team [Click for roster],Wins,Losses,WP,GB
Cincinnati Reds,99,63,.611,0,
Los Angeles Dodgers,95,66,.590,3½,
San Francisco Giants,88,74,.543,11,
Houston Astros,82,80,.506,17,
Atlanta Braves,76,85,.472,22½,
San Diego Padres,60,102,.370,39,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
Final National League Team Standings in 1973,,,,,
