0,1,2,3,4
1966 National League Pitcher Review←1965| 1966 Pitching Statistics League Leaders |1967→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Sandy Koufax,Los Angeles,27,Top 25
ERA,Sandy Koufax,Los Angeles,1.73,Top 25
Games,Clay Carroll,Atlanta,73,Top 25
Saves,Phil Regan,Los Angeles,21,Top 25
Shutouts,Jim Bunning,Philadelphia,5,Top 25
Bob Gibson,St. Louis,,,
Larry Jackson,Chicago,,,
Philadelphia,,,,
Larry Jaster,St. Louis,,,
Sandy Koufax,Los Angeles,,,
Jim Maloney,Cincinnati,,,
Strikeouts,Sandy Koufax,Los Angeles,317,Top 25
Winning Percentage,Juan Marichal,San Francisco,.806,Top 25
Wins,Sandy Koufax,Los Angeles,27,Top 25
Statistic,Name(s),Team(s),#,Top 25
1966 N.L. History |1966 A.L. History|Year-by-Year History,,,,
