0,1,2,3,4
1956 National League Pitcher Review←1955| 1956 Pitching Statistics League Leaders |1957→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Robin Roberts,Philadelphia,22,Top 25
ERA,Lew Burdette,Milwaukee,2.70,Top 25
Games,Roy Face,Pittsburgh,68,Top 25
Saves,Clem Labine,Brooklyn,19,Top 25
Shutouts,Lew Burdette,Milwaukee,6,Top 25
Strikeouts,Sam Jones,Chicago,176,Top 25
Winning Percentage,Don Newcombe,Brooklyn,.794,Top 25
Wins,Don Newcombe,Brooklyn,27,Top 25
Statistic,Name(s),Team(s),#,Top 25
1956 N.L. History |1956 A.L. History|Year-by-Year History,,,,
