0,1,2,3,4
1966 National League Team Standings1966 All-Star Game| 1966 Team Standings |1966 World Series,,,,
Team | Roster,Wins,Losses,WP,GB
Los Angeles Dodgers,95,67,.586,0
San Francisco Giants,93,68,.578,1½
Pittsburgh Pirates,92,70,.568,3
Philadelphia Phillies,87,75,.537,8
Atlanta Braves,85,77,.525,10
St. Louis Cardinals,83,79,.512,12
Cincinnati Reds,76,84,.475,18
Houston Astros,72,90,.444,23
New York Mets,66,95,.410,28½
Chicago Cubs,59,103,.364,36
Team | Roster,Wins,Losses,WP,GB
1966 National League Final Standings,,,,
