0,1,2,3,4
2008 National League Pitcher Review←2007| 2008 Pitching Statistics League Leaders |2009→,,,,
Statistic,Name,Team,#,Top 25
Complete Games,C.C. Sabathia,Milwaukee,7,Top 25
ERA,Johan Santana,New York,2.53,Top 25
Games,Pedro Feliciano,New York,86,Top 25
Saves,Jose Valverde,Houston,44,Top 25
Shutouts,C.C. Sabathia,Milwaukee,3,Top 25
Ben Sheets,Milwaukee,,,
Strikeouts,Tim Lincecum,San Francisco,265,Top 25
Winning Percentage,Tim Lincecum,San Francisco,.783,Top 25
Wins,Brandon Webb,Arizona,22,Top 25
Statistic,Name,Team,#,Top 25
2008 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
