0,1,2,3,4
2003 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Livan Hernandez,Montreal,8,Top 25
ERA,Jason Schmidt,San Francisco,2.34,Top 25
Games,Paul Quantrill,Los Angeles,89,Top 25
Saves,Eric Gagne,Los Angeles,55,Top 25
Shutouts,Kevin Millwood,Philadelphia,3,Top 25
Matt Morris,St. Louis,,,
Jason Schmidt,San Francisco,,,
Strikeouts,Kerry Wood,Chicago,266,Top 25
Winning Percentage,Jason Schmidt,San Francisco,.773,Top 25
Wins,Russ Ortiz,Atlanta,21,Top 25
Statistic,Name,Team,#,Top 25
