0,1,2,3,4
1989 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Tim Belcher,Los Angeles,10,Top 25
Bruce Hurst,San Diego,,,
ERA,Scott Garrelts,San Francisco,2.28,Top 25
Games,Mitch Williams,Chicago,76,Top 25
Saves,Mark Davis,San Diego,44,Top 25
Shutouts,Tim Belcher,Los Angeles,8,Top 25
Strikeouts,Jose DeLeon,St. Louis,201,Top 25
Winning Percentage,Mike Bielecki,Chicago,.720,Top 25
Wins,Mike Scott,Houston,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
