0,1,2,3,4
1930 National League Pitcher Review←1929| 1930 Pitching Statistics League Leaders |1931→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Erv Brame,Pittsburgh,22,Top 25
Pat Malone,Chicago,,,
ERA,Dazzy Vance,Brooklyn,2.61,Top 25
Games,Hal Elliott,Philadelphia,48,Top 25
Saves,Hi Bell,St. Louis,8,Top 25
Shutouts,Charlie Root,Chicago,4,Top 25
Dazzy Vance,Brooklyn,,,
Strikeouts,Bill Hallahan,St. Louis,177,Top 25
Winning Percentage,Freddie Fitzsimmons,New York,.731,Top 25
Wins,Ray Kremer,Pittsburgh,20,Top 25
Pat Malone,Chicago,,,
Statistic,Name(s),Team(s),#,Top 25
1930N.L. History |1930 A.L. History|Year-by-Year History,,,,
