0,1,2,3,4
1968 National League Pitcher Review←1967| 1968 Pitching Statistics League Leaders |1969→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Juan Marichal,San Francisco,30,Top 25
ERA,Bob Gibson,St. Louis,1.12,Top 25
Games,Ted Abernathy,Cincinnati,78,Top 25
Saves,Phil Regan,Los Angeles,25,Top 25
Chicago,,,,
Shutouts,Bob Gibson,St. Louis,13,Top 25
Strikeouts,Bob Gibson,St. Louis,268,Top 25
Winning Percentage,Steve Blass,Pittsburgh,.750,Top 25
Wins,Juan Marichal,San Francisco,26,Top 25
Statistic,Name(s),Team(s),#,Top 25
1968 N.L. History |1968 A.L. History|Year-by-Year History,,,,
