0,1,2,3,4
1955 National League Pitcher Review←1954| 1955 Pitching Statistics League Leaders |1956→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Robin Roberts,Philadelphia,26,Top 25
ERA,Bob Friend,Pittsburgh,2.83,Top 25
Games,Clem Labine,Brooklyn,60,Top 25
Saves,Jack Meyer,Philadelphia,16,Top 25
Shutouts,Joe Nuxhall,Cincinnati,5,Top 25
Strikeouts,Sam Jones,Chicago,198,Top 25
Winning Percentage,Don Newcombe,Brooklyn,.800,Top 25
Wins,Robin Roberts,Philadelphia,23,Top 25
Statistic,Name(s),Team(s),#,Top 25
1955 N.L. History |1955 A.L. History|Year-by-Year History,,,,
