0,1,2,3,4
1932 National League Pitcher Review←1931| 1932 Pitching Statistics League Leaders |1933→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Red Lucas,Cincinnati,28,Top 25
ERA,Lon Warneke,Chicago,2.37,Top 25
Games,Larry French,Pittsburgh,47,Top 25
Saves,Jack Quinn,Brooklyn,8,Top 25
Shutouts,Dizzy Dean,St. Louis,4,Top 25
Steve Swetonic,Pittsburgh,,,
Lon Warneke,Chicago,,,
Strikeouts,Dizzy Dean,St. Louis,191,Top 25
Winning Percentage,Lon Warneke,Chicago,.786,Top 25
Wins,Lon Warneke,Chicago,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
1932 N.L. History |1932 A.L. History|Year-by-Year History,,,,
