0,1,2,3,4
1884 American AssociationTeam Standings,,,,
Team | Roster,W,L,WP,GB
New York Metropolitans,75,32,.701,0
Columbus Colts,69,39,.639,6½
Louisville Colonels,68,40,.630,7½
St. Louis Browns,67,40,.626,8
Cincinnati Red Stockings,68,41,.624,8
Baltimore Orioles,63,43,.594,11½
Philadelphia Athletics,61,46,.570,14
Toledo Blue Stockings,46,58,.442,27½
Brooklyn Trolley Dodgers,40,64,.385,33½
Richmond Virginias,12,30,.286,30½
Pittsburgh Alleghenys,30,78,.278,45½
Indianapolis Blues,29,78,.271,46
Washington Nationals,12,51,.190,41
Team | Roster,W,L,WP,GB
1884 American Association Team Standings,,,,
