0,1,2,3,4,5,6,7
2008 National League Standings2008 All-Star Game| 2008 N.L. Team Standings |2008 World Series,,,,,,,
East,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Philadelphia Phillies,92,70,0,.568,--,"$98,269,881",
New York Mets,89,73,0,.549,3,"$138,293,378",
Florida Marlins,84,77,0,.522,7½,"$21,836,500",
Atlanta Braves,72,90,0,.444,20,"$102,424,018",
Washington Nationals,59,102,0,.366,32½,"$54,961,000",
Central,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Chicago Cubs,97,64,0,.602,--,"$118,595,833",
Milwaukee Brewers,90,72,0,.556,7½,"$81,004,167",
Houston Astros,86,75,0,.534,11,"$88,930,415",
St. Louis Cardinals,86,76,0,.531,11½,"$100,624,450",
Cincinnati Reds,74,88,0,.457,23½,"$74,277,685",
Pittsburgh Pirates,67,95,0,.414,30½,"$49,365,283",
West,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Los Angeles Dodgers,84,78,0,.519,--,"$118,536,038",
Arizona Diamondbacks,82,80,0,.506,2,"$66,202,713",
Colorado Rockies,74,88,0,.457,10,"$68,655,500",
San Francisco Giants,72,90,0,.444,12,"$76,904,500",
San Diego Padres,63,99,0,.389,21,"$73,677,617",
N.L.,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
2008 National League Final Standings,,,,,,,
