0,1,2,3,4
1974 National League Pitcher Review←1973| 1974 Pitching Statistics League Leaders |1975→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Phil Niekro,Atlanta,18,Top 25
ERA,Buzz Capra,Atlanta,2.28,Top 25
Games,Mike Marshall,Los Angeles,106,Top 25
Saves,Mike Marshall,Los Angeles,21,Top 25
Shutouts,Jon Matlack,New York,7,Top 25
Strikeouts,Steve Carlton,Philadelphia,240,Top 25
Winning Percentage,Andy Messersmith,Los Angeles,.769,Top 25
Wins,Andy Messersmith,Los Angeles,20,Top 25
Phil Niekro,Atlanta,,,
Statistic,Name(s),Team(s),#,Top 25
1974 N.L. History |1974 A.L. History|Year-by-Year History,,,,
