0,1,2,3,4,5,6
2000 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Atlanta Braves,95,67,.586,0,"$84,537,836",
New York Mets,94,68,.580,1,"$79,509,776",
Florida Marlins,79,82,.491,15½,"$20,072,000",
Montreal Expos,67,95,.414,28,"$34,807,333",
Philadelphia Phillies,65,97,.401,30,"$47,308,000",
Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
St. Louis Cardinals,95,67,.586,0,"$61,453,863",
Cincinnati Reds,85,77,.525,10,"$46,867,200",
Milwaukee Brewers,73,89,.451,22,"$36,505,333",
Houston Astros,72,90,.444,23,"$51,289,111",
Pittsburgh Pirates,69,93,.426,26,"$28,928,333",
Chicago Cubs,65,97,.401,30,"$60,539,333",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
San Francisco Giants,97,65,.599,0,"$53,737,826",
Los Angeles Dodgers,86,76,.531,11,"$88,124,286",
Arizona Diamondbacks,85,77,.525,12,"$81,027,333",
Colorado Rockies,82,80,.506,15,"$61,111,190",
San Diego Padres,76,86,.469,21,"$54,821,000",
National League Team Standings,,,,,,
