0,1,2,3,4
1954 National League Pitcher Review←1953| 1954 Pitching Statistics League Leaders |1954→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Robin Roberts,Philadelphia,29,Top 25
ERA,Johnny Antonelli,New York,2.30,Top 25
Games,Jim Hughes,Brooklyn,60,Top 25
Saves,Jim Hughes,Brooklyn,24,Top 25
Shutouts,Johnny Antonelli,New York,6,Top 25
Strikeouts,Robin Roberts,Philadelphia,185,Top 25
Winning Percentage,Johnny Antonelli,New York,.750,Top 25
Wins,Robin Roberts,Philadelphia,23,Top 25
Statistic,Name(s),Team(s),#,Top 25
1954 N.L. History |1954 A.L. History|Year-by-Year History,,,,
