0,1,2,3,4,5
1972 National League Team Standings1972 All-Star Game| 1972 Team Standings |1972 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
Pittsburgh Pirates,96,59,.619,0,
Chicago Cubs,85,70,.548,11,
New York Mets,83,73,.532,13½,
St. Louis Cardinals,75,81,.481,21½,
Montreal Expos,70,86,.449,26½,
Philadelphia Phillies,59,97,.378,37½,
West,Team [Click for roster],Wins,Losses,WP,GB
Cincinnati Reds,95,59,.617,0,
Houston Astros,84,69,.549,10½,
Los Angeles Dodgers,85,70,.548,10½,
Atlanta Braves,70,84,.455,25,
San Francisco Giants,69,86,.445,26½,
San Diego Padres,58,95,.379,36½,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
National League Team Standings,,,,,
