0,1,2
1903 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Brooklyn,522
Batting Average,Cincinnati,.288
Doubles,Cincinnati,228
Hits,Pittsburgh,"1,429"
Home Runs,Pittsburgh,34
On Base Percentage,Brooklyn,.348
Runs,Pittsburgh,793
Slugging Average,Pittsburgh,.393
Stolen Bases,Brooklyn,273
Triples,Pittsburgh,110
Statistic,Team,#
