0,1,2,3,4
1894 National League Pitcher Review←1893| 1894 Pitching Statistics League Leaders |1895→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Ted Breitenstein,St. Louis,46,Top 25
ERA,Amos Rusie,New York,2.78,Top 25
Games,Ted Breitenstein,St. Louis,56,Top 25
Saves,Tony Mullane,Baltimore,4,Top 25
Cleveland,,,,
Shutouts,Nig Cuppy,Cleveland,3,Top 25
Kid Nichols,Boston,,,
Amos Rusie,New York,,,
Strikeouts,Amos Rusie,New York,195,Top 25
Winning Percentage,Jouett Meekin,New York,.786,Top 25
Wins,Amos Rusie,New York,36,Top 25
Statistic,Name(s),Team(s),#,Top 25
1894 N.L. History |Year-by-Year History,,,,
