0,1,2
1881 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Providence,146
Batting Average,Chicago,.295
Doubles,Buffalo,157
Chicago,,
Hits,Chicago,918
Home Runs,Detroit,17
On Base Percentage,Chicago,.325
Runs,Chicago,550
Slugging Average,Chicago,.380
Triples,Detroit,53
Statistic,Team,#
