0,1,2,3,4
1985 National League Pitcher Review←1984| 1985 Pitching Statistics League Leaders |1986→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Dwight Gooden,New York,16,Top 25
ERA,Dwight Gooden,New York,1.53,Top 25
Games,Tim Burke,Montreal,78,Top 25
Saves,Jeff Reardon,Montreal,41,Top 25
Shutouts,John Tudor,St. Louis,10,Top 25
Strikeouts,Dwight Gooden,New York,268,Top 25
Winning Percentage,Orel Hershiser,Los Angeles,.864,Top 25
Wins,Dwight Gooden,New York,24,Top 25
Statistic,Name(s),Team(s),#,Top 25
1985 N.L. History |1985 A.L. History|Year-by-Year History,,,,
