0,1,2
1934 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Brooklyn,548
Batting Average,St. Louis,.288
Doubles,St. Louis,294
Hits,St. Louis,"1,582"
Home Runs,New York,126
On Base Percentage,Brooklyn,.350
Runs,St. Louis,799
Slugging Average,St. Louis,.425
Stolen Bases,St. Louis,69
Triples,Brooklyn,548
