0,1,2
1913 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Chicago,554
Batting Average,New York,.273
Doubles,Philadelphia,257
Hits,Philadelphia,"1,433"
Home Runs,Philadelphia,73
On Base Percentage,New York,.338
Runs,Chicago,720
Slugging Average,Philadelphia,.382
Stolen Bases,New York,296
Triples,Chicago,96
Cincinnati,,
Statistic,Team,#
