0,1,2,3,4
1876 National League Pitcher Review1876 Pitching Statistics League Leaders |1877→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Jim Devlin,Louisville,66,Top 25
ERA,George Bradley,St. Louis,1.23,Top 25
Games,Jim Devlin,Louisville,68,Top 25
Saves,Jack Manning,Boston,5,Top 25
Shutouts,George Bradley,St. Louis,16,Top 25
Strikeouts,Jim Devlin,Louisville,122,Top 25
Winning Percentage,Al Spalding,Chicago,.797,Top 25
Wins,Al Spalding,Chicago,47,Top 25
Statistic,Name(s),Team(s),#,Top 25
1876 N.L. History |Year-by-Year History,,,,
