0,1,2
1985 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,St. Louis,37
ERA,Los Angeles,2.96
Fewest Hits Allowed,Los Angeles,"1,280"
Fewest Home Runs Allowed,St. Louis,98
Fewest Walks Allowed,San Diego,443
Saves,Montreal,53
Shutouts,Los Angeles,21
Strikeouts,New York,"1,039"
