0,1,2,3,4
1962 National League Pitcher Review←1961| 1962 Pitching Statistics League Leaders |1963→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Warren Spahn,Milwaukee,22,Top 25
ERA,Sandy Koufax,Los Angeles,2.54,Top 25
Games,RonPerranoski,Los Angeles,70,Top 25
Saves,Roy Face,Pittsburgh,28,Top 25
Shutouts,Bob Friend,Pittsburgh,5,Top 25
Bob Gibson,St. Louis,,,
Strikeouts,Don Drysdale,Los Angeles,232,Top 25
Winning Percentage,Bob Purkey,Cincinnati,.821,Top 25
Wins,Don Drysdale,Los Angeles,25,Top 25
Statistic,Name(s),Team(s),#,Top 25
1962 N.L. History |1962 A.L. History|Year-by-Year History,,,,
