0,1,2,3,4
1924 National League Pitcher Review←1923| 1924 Pitching Statistics League Leaders |1925→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Burleigh Grimes,Brooklyn,30,Top 25
Dazzy Vance,Brooklyn,,,
ERA,Dazzy Vance,Brooklyn,2.16,Top 25
Games,Ray Kremer,Pittsburgh,41,Top 25
Johnny Morrison,Pittsburgh,,,
Saves,Jakie May,Cincinnati,6,Top 25
Shutouts,Jesse Barnes,Boston,4,Top 25
Wilbur Cooper,Pittsburgh,,,
Ray Kremer,Pittsburgh,,,
Eppa Rixey,Cincinnati,,,
Allen Sothoron,St. Louis,,,
Emil Yde,Pittsburgh,,,
Strikeouts,Dazzy Vance,Brooklyn,262,Top 25
Winning Percentage,Emil Yde,Pittsburgh,.842,Top 25
Wins,Dazzy Vance,Brooklyn,28,Top 25
Statistic,Name(s),Team(s),#,Top 25
1924 N.L. History |1924 N.L. History|Year-by-Year History,,,,
