0,1,2,3,4
1938 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Paul Derringer,Cincinnati,26,Top 25
ERA,Bill Lee,Chicago,2.66,Top 25
Games,Mace Brown,Pittsburgh,51,Top 25
Dick Coffman,New York,,,
Saves,Dick Coffman,New York,12,Top 25
Shutouts,Bill Lee,Chicago,9,Top 25
Strikeouts,Clay Bryant,Chicago,135,Top 25
Winning Percentage,Bill Lee,Chicago,.710,Top 25
Wins,Bill Lee,Chicago,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
