0,1,2,3,4
1981 National League Pitcher Review←1979| 1981 Pitching Statistics League Leaders |1982→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Fernando Valenzuela,Los Angeles,11,Top 25
ERA,Nolan Ryan,Houston,1.69,Top 25
Games,Gary Lucas,San Diego,57,Top 25
Saves,Bruce Sutter,St. Louis,25,Top 25
Shutouts,Fernando Valenzuela,Los Angeles,8,Top 25
Strikeouts,Fernando Valenzuela,Los Angeles,180,Top 25
Winning Percentage,Tom Seaver,Cincinnati,.875,Top 25
Wins,Tom Seaver,Cincinnati,14,Top 25
Statistic,Name(s),Team(s),#,Top 25
1981 N.L. History |1981 A.L. History|Year-by-Year History,,,,
